,Psychedelics and Altered States of Consciousness,Cognitive Neuroscience,Artificial Intelligence and Computational Models,Psychology and Experimental Research,Neurobiology,Quantum Theories of Consciousness,Philosophy of Mind,"Cultural, Spiritual, and Anthropological Perspectives",Physical Theories of Consciousness,Unknown
Psychedelics and Altered States of Consciousness,1.0000000000000002,0.7788063947020442,0.6520849885732705,0.5234819357864965,0.7400471946953704,0.68330825627847,0.6168663553022906,0.6278082662455418,0.637644374635799,0.677727176516992
Cognitive Neuroscience,0.7788063947020442,1.0000000000000004,0.7852855847911097,0.5986727327132285,0.9068627120896057,0.7721689684114545,0.7551540661439208,0.7338401085996009,0.7736424008975469,0.8934788503462626
Artificial Intelligence and Computational Models,0.6520849885732705,0.7852855847911097,1.0000000000000016,0.6709514399422775,0.7611935420881111,0.7093312052680857,0.7990431303231131,0.6462448866031933,0.72728983580302,0.7838100637978902
Psychology and Experimental Research,0.5234819357864965,0.5986727327132285,0.6709514399422775,0.9999999999999996,0.5479560584514461,0.5088236517266155,0.5736947927868481,0.4926878844331393,0.533542068445552,0.541369606617567
Neurobiology,0.7400471946953704,0.9068627120896057,0.7611935420881111,0.5479560584514461,0.9999999999999996,0.772533845687972,0.7343420416402796,0.7091157464146377,0.7413065208436572,0.8344126286304542
Quantum Theories of Consciousness,0.68330825627847,0.7721689684114545,0.7093312052680857,0.5088236517266155,0.772533845687972,0.9999999999999999,0.7897846113052254,0.7635258332496182,0.7885648606556572,0.7833661405492102
Philosophy of Mind,0.6168663553022906,0.7551540661439208,0.7990431303231131,0.5736947927868481,0.7343420416402796,0.7897846113052254,1.0000000000000009,0.745891841484262,0.7044730229405318,0.8201626251154954
"Cultural, Spiritual, and Anthropological Perspectives",0.6278082662455418,0.7338401085996009,0.6462448866031933,0.4926878844331393,0.7091157464146377,0.7635258332496182,0.745891841484262,0.9999999999999991,0.6557794302865946,0.7350010135102221
Physical Theories of Consciousness,0.637644374635799,0.7736424008975469,0.72728983580302,0.533542068445552,0.7413065208436572,0.7885648606556572,0.7044730229405318,0.6557794302865946,1.000000000000001,0.7850382171438145
Unknown,0.677727176516992,0.8934788503462626,0.7838100637978902,0.541369606617567,0.8344126286304542,0.7833661405492102,0.8201626251154954,0.7350010135102221,0.7850382171438145,0.9999999999999992
